SystemLoad,Date,Hour
11878,2004-02-15,5
12253,2004-02-15,6
12897,2004-02-15,7
13690,2004-02-15,8
14795,2004-02-15,9
15534,2004-02-15,10
15892,2004-02-15,11
16027,2004-02-15,12
15970,2004-02-15,13
15619,2004-02-15,14
15307,2004-02-15,15
15242,2004-02-15,16
23634,2004-02-15,17
25893,2004-02-15,18
27220,2004-02-15,19
26823,2004-02-15,20
26064,2004-02-15,21
24841,2004-02-15,22
23367,2004-02-15,23
21783,2004-02-15,24
13786,2004-02-16,1
13445,2004-02-16,2
13361,2004-02-16,3
20127,2004-02-16,4
20569,2004-02-16,5
21805,2004-02-16,6
23767,2004-02-16,7
25402,2004-02-16,8
26571,2004-02-16,9
27180,2004-02-16,10
27279,2004-02-16,11
27000,2004-02-16,12
17576,2004-02-16,13
17163,2004-02-16,14
16786,2004-02-16,15
16666,2004-02-16,16
17134,2004-02-16,17
18601,2004-02-16,18
19285,2004-02-16,19
18909,2004-02-16,20
18217,2004-02-16,21
17186,2004-02-16,22
15773,2004-02-16,23
14600,2004-02-16,24
13826,2004-02-17,1
13446,2004-02-17,2
13308,2004-02-17,3
13367,2004-02-17,4
13712,2004-02-17,5
14871,2004-02-17,6
16727,2004-02-17,7
18013,2004-02-17,8
18469,2004-02-17,9
18505,2004-02-17,10
27661,2004-02-17,11
27402,2004-02-17,12
26922,2004-02-17,13
26602,2004-02-17,14
26146,2004-02-17,15
25977,2004-02-17,16
17731,2004-02-17,17
18984,2004-02-17,18
19483,2004-02-17,19
19018,2004-02-17,20
18255,2004-02-17,21
17105,2004-02-17,22
15595,2004-02-17,23
14255,2004-02-17,24
13349,2004-02-18,1
12912,2004-02-18,2
12689,2004-02-18,3
12654,2004-02-18,4
12932,2004-02-18,5
