SystemLoad,Date,Hour
13171,2004-02-07,7
14106,2004-02-07,8
15281,2004-02-07,9
16090,2004-02-07,10
19945,2004-02-07,11
18969,2004-02-07,12
20823,2004-02-07,13
20542,2004-02-07,14
21824,2004-02-07,15
15656,2004-02-07,16
21407,2004-02-07,17
19603,2004-02-07,18
25432,2004-02-07,19
23281,2004-02-07,20
18049,2004-02-07,21
15785,2004-02-07,22
14869,2004-02-07,23
13818,2004-02-07,24
13029,2004-02-08,1
12541,2004-02-08,2
12337,2004-02-08,3
12300,2004-02-08,4
12424,2004-02-08,5
12855,2004-02-08,6
13527,2004-02-08,7
14290,2004-02-08,8
15355,2004-02-08,9
16060,2004-02-08,10
16410,2004-02-08,11
16567,2004-02-08,12
18942,2004-02-08,13
20062,2004-02-08,14
23645,2004-02-08,15
16037,2004-02-08,16
16407,2004-02-08,17
18110,2004-02-08,18
18760,2004-02-08,19
18465,2004-02-08,20
17819,2004-02-08,21
16714,2004-02-08,22
15409,2004-02-08,23
14237,2004-02-08,24
13311,2004-02-09,1
18720,2004-02-09,2
14594,2004-02-09,3
18270,2004-02-09,4
20746,2004-02-09,5
17576,2004-02-09,6
25612,2004-02-09,7
20534,2004-02-09,8
23597,2004-02-09,9
26355,2004-02-09,10
21834,2004-02-09,11
17962,2004-02-09,12
17679,2004-02-09,13
17398,2004-02-09,14
17055,2004-02-09,15
17158,2004-02-09,16
17765,2004-02-09,17
19238,2004-02-09,18
19468,2004-02-09,19
18955,2004-02-09,20
18078,2004-02-09,21
16817,2004-02-09,22
15176,2004-02-09,23
13682,2004-02-09,24
12720,2004-02-10,1
12227,2004-02-10,2
11988,2004-02-10,3
11976,2004-02-10,4
12235,2004-02-10,5
13406,2004-02-10,6
15774,2004-02-10,7
16956,2004-02-10,8
17040,2004-02-10,9
16910,2004-02-10,10
16875,2004-02-10,11
16723,2004-02-10,12
16502,2004-02-10,13
16356,2004-02-10,14
16168,2004-02-10,15
16140,2004-02-10,16
16641,2004-02-10,17
18121,2004-02-10,18
18645,2004-02-10,19
18319,2004-02-10,20
17751,2004-02-10,21
16620,2004-02-10,22
14870,2004-02-10,23
13433,2004-02-10,24
12511,2004-02-11,1
12094,2004-02-11,2
11918,2004-02-11,3
